employee_length,loan_amnt,term,int_rate,installment,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,default
139,6200,36,6.03,188.71,-3,26500,0,-5,18.2,0,0,6,0,2982,16,18,0
140,15000,36,18.64,547.12,0,54000,0,0,19.69,0,2,9,0,15183,90.3,12,0
141,4200,36,11.71,138.92,0,53000,0,-8,16.91,0,0,15,0,8336,79.7,22,0
142,14000,36,14.27,480.33,0,52800,0,0,7.36,0,1,9,0,13378,70.8,14,0
143,8875,36,7.51,276.11,-3,38000,0,0,23.53,0,1,13,0,19056,62.1,27,0
144,13500,36,9.91,435.04,0,38000,-2,0,12.38,0,1,3,0,16023,67.3,7,0
145,12000,36,9.91,386.7,0,42000,0,0,7.83,0,2,8,0,9749,65.4,16,1
146,16000,60,19.91,423.11,0,55000,-2,0,15.8,0,0,8,0,7743,72.4,19,0
147,21600,60,19.42,565.32,-3,60000,-1,0,16.74,1,0,6,0,13354,78.1,21,0
148,6000,36,10.65,195.44,-3,87000,0,-6,12.86,2,0,12,0,11739,40.5,22,0
149,8450,60,16.77,208.97,-2,25000,-2,0,22.51,0,2,6,0,17614,83.5,21,0
150,20000,60,13.49,460.1,0,82000,0,-7,17.68,0,0,13,0,26693,61.4,23,0
151,10000,36,11.71,330.76,0,60000,0,0,22.08,0,0,8,0,5626,29.3,26,1
152,12000,36,16.29,423.61,-3,80000,-2,-7,18.18,0,0,8,0,29609,97.2,11,0
153,13475,60,13.49,309.99,0,25000,-2,-7,21.89,0,1,7,0,9943,65.8,14,1
154,7200,36,12.42,240.59,0,48000,0,-4,17.43,0,1,7,0,16450,80.2,10,0
155,5600,36,14.65,193.17,-3,85000,0,0,12.24,1,3,8,0,6812,90.8,31,1
156,12000,36,14.27,411.71,0,57000,-2,0,10.86,0,1,7,0,9273,81.5,11,0
157,8500,36,6.03,258.71,0,25000,0,-7,1.73,0,0,6,0,2463,28,18,0
158,8000,36,9.91,257.8,0,34000,-1,-7,18.28,0,0,6,0,7434,78.5,7,0
159,8000,36,12.42,267.33,0,40000,0,-7,15,0,0,10,0,18601,88.2,11,0
160,16000,60,15.27,382.92,0,42656.4,-1,0,17.44,0,1,4,0,12830,92.3,17,0
161,15000,36,17.27,536.81,-3,44400,-1,-10,3.59,1,0,6,1,4582,91.6,16,0
162,10000,36,9.91,322.25,-2,30000,0,0,11.24,0,1,8,0,9152,66.8,30,0
163,10000,36,6.62,307.04,-3,70000,0,-7,16.78,0,0,9,0,10770,69,18,0
164,8000,36,14.65,275.96,0,28000,0,-3,12.6,0,1,8,0,6187,54.3,11,0
165,22000,36,9.91,708.95,-3,50000,-2,0,13.22,0,4,17,0,21470,49.8,32,0
166,6000,36,14.27,205.86,-3,94800,-2,-3,24.53,0,1,13,0,71890,95.9,30,0
167,16000,60,9.91,339.25,-2,40000,-2,0,9.39,0,1,6,0,13270,28.5,23,0
168,2500,36,7.51,77.78,-2,12000,-1,0,16.3,0,2,13,0,4853,42.2,20,1
169,13500,36,9.91,435.04,-3,36000,-1,-7,22.93,0,1,13,0,25011,67.2,15,0
170,25000,36,12.42,835.39,0,225000,-2,0,8.32,1,0,11,0,30449,34.6,23,0
171,10000,36,13.49,339.31,0,45900,-2,-5,24.97,0,2,10,0,8936,48.3,12,0
172,2500,36,13.49,84.83,0,27200,0,0,6.44,0,0,6,0,3473,68.1,6,0
173,7325,36,12.69,245.72,0,42000,0,0,22.57,0,3,12,0,7281,65,29,0
174,4000,36,12.42,133.67,0,135000,-2,-7,12.12,0,3,11,0,29311,85.7,21,0
175,10000,36,13.49,339.31,0,65000,0,-5,6.92,1,2,12,0,14292,69.5,17,1
176,7750,36,17.27,277.36,0,24000,0,0,16.1,0,1,4,0,2348,67.1,7,1
177,20000,60,20.89,539.84,0,70000,-1,0,16.63,0,1,10,0,10470,79.9,24,1
178,9600,36,12.42,320.79,0,65000,-2,0,11.65,0,0,6,0,11279,70.9,11,0
179,21000,60,11.71,464.07,0,60000,0,0,6.62,0,0,7,0,10543,79.9,11,1
180,14000,36,10.65,456.03,0,30000,-1,-7,15.52,0,0,7,0,15542,65.6,14,0
181,13350,36,12.42,446.1,0,43000,0,0,20.57,0,0,7,0,11531,95.3,15,0
182,15000,36,16.77,533.08,0,42000,-2,0,19.63,0,2,10,0,8238,74.9,38,1
183,15000,36,17.27,536.81,0,75000,-1,0,16.03,0,0,10,0,13505,75.9,17,1
184,11000,60,13.49,253.06,-3,129000,-2,0,10.94,0,0,10,0,1735,24.1,31,0
185,35000,36,10.65,1140.07,-3,168000,-2,0,3.17,1,1,16,0,1099,1.4,22,0
186,9000,36,10.65,293.16,-3,74000,-1,-7,8.89,0,0,7,0,7388,71.7,10,0
187,22475,60,15.27,537.87,-3,52000,-2,0,15.23,0,1,7,0,18554,61.8,23,0
188,16000,36,12.69,536.72,0,58500,-1,0,20.64,0,0,8,0,26224,89.3,10,1
189,13500,36,12.69,452.86,0,71000,-1,0,11.97,0,2,4,0,6681,77.7,11,0
190,24000,36,12.69,805.08,0,75000,-2,0,11.6,0,0,10,0,21609,84.6,33,0
191,12000,36,10.65,390.88,0,60000,0,-7,10.84,0,1,12,0,11849,48.8,18,0
192,8400,60,16.77,207.73,0,87996,0,-4,11.35,0,0,8,0,9551,80.3,13,0
193,28000,60,17.58,704.64,-3,140000,-2,-6,12.07,0,1,13,0,2686,13.4,24,0
194,14000,36,6.62,429.86,0,66000,-1,0,11.15,0,1,7,0,12095,35.4,46,0
195,12000,36,14.27,411.71,-3,70000,0,-8,8.4,0,1,7,0,11546,86.2,12,1
196,25000,36,11.71,826.9,-3,100000,-2,0,6.88,0,1,8,0,21128,89.1,18,0
197,9000,36,12.69,301.91,0,50000,-1,0,17.81,0,1,13,0,12752,55.4,21,0
198,13250,36,10.65,431.6,0,35000,0,0,24.93,0,2,11,0,13392,58.7,25,0
199,20000,36,13.49,678.61,0,75000,-2,0,22.38,0,1,7,0,19548,90.8,17,0
200,3000,36,14.65,103.49,0,71000,-2,-1,21.84,0,1,4,0,15072,88.7,14,0
201,7350,36,10.65,239.42,-3,48000,0,0,11.93,0,0,5,0,15587,77.5,5,0
202,11500,36,15.27,400.18,0,36000,0,0,21.1,0,1,7,0,8969,76.7,14,0
203,13650,36,12.42,456.12,-3,86000,0,0,12.29,0,1,12,0,16140,73.4,34,1
204,10500,36,16.29,370.66,0,30000,-1,0,15,0,1,7,0,5379,55.5,8,1
205,12000,36,9.91,386.7,0,60000,0,0,15.5,0,0,7,0,12168,85.7,21,0
206,6000,36,8.9,190.52,0,34000,0,-7,14.51,0,2,9,0,13683,64.8,16,0
207,11500,36,15.27,400.18,-3,44200,-2,-7,21.69,0,1,9,0,13147,90,11,0
208,7000,36,12.42,233.91,-3,82000,0,0,12,0,1,6,0,25334,71.6,31,0
209,29500,60,20.3,786.51,-3,83000,-1,0,20.93,0,0,12,0,22087,89.8,35,0
210,2000,36,15.27,69.6,0,41000,-2,-12,17.74,0,1,7,0,18115,96.4,11,0
211,11625,36,13.49,394.45,-3,36000,-1,-7,19.33,0,1,17,0,19979,84.7,31,0
212,15075,36,14.27,517.21,0,35000,-2,0,20.16,0,1,7,0,10570,89.6,14,1
213,5300,36,15.27,184.43,0,30000,-2,-7,24.88,0,2,11,0,7855,82.7,13,0
214,8200,36,6.62,251.77,0,40000,-1,-6,11.1,0,1,7,0,2573,25.5,11,0
215,12000,36,12.42,400.99,-3,105000,0,-7,13.98,0,1,10,0,11243,75,25,0
216,8650,36,14.27,296.78,-3,45000,-1,-7,7.6,0,2,14,0,6602,58.9,23,0
217,21000,60,17.27,294.98,-3,109000,-2,0,7.75,0,0,9,0,25435,50.3,16,0
218,16000,60,17.27,399.97,0,50000,-1,0,11.04,0,0,10,0,15788,42.2,16,0
219,12000,36,12.42,400.99,0,83000,0,0,11.81,0,2,14,0,16550,51.1,61,0
220,9500,36,12.69,318.68,-3,52500,-1,-12,23.54,0,2,14,0,23729,75.3,42,1
221,7400,36,13.49,251.09,-2,25000,-1,0,8.45,0,0,5,0,5199,92.8,13,0
222,14400,36,13.49,488.6,-3,60000,0,0,16.92,0,1,15,0,23317,65,26,0
223,24250,60,23.91,519.76,-3,120000,-2,0,12.96,0,3,7,0,31992,99,20,0
224,7200,36,7.9,225.29,0,68000,-1,0,7.98,0,0,5,0,8783,82.9,14,1
225,26000,60,16.77,642.96,-3,53000,-2,-6,11.77,0,1,5,0,7560,72.7,14,1
226,7000,60,11.71,154.69,-3,69600,-2,-7,26.22,0,0,10,0,45449,90.9,23,1
227,4000,36,7.51,124.45,0,65000,-1,-4,18.17,0,0,10,0,10032,50.7,24,0
228,1500,36,17.27,53.69,-3,144000,-2,0,8.23,1,0,6,0,14186,97.8,14,0
229,19600,36,12.42,654.94,0,75000,-2,-7,11.62,0,0,8,0,20355,50.1,12,0
230,2500,36,11.71,82.69,-3,29000,-2,0,18.7,0,0,5,0,2668,66.7,13,0
231,10000,36,12.69,335.45,0,70000,0,-7,2.69,0,0,5,0,6035,70.2,6,1
232,10000,36,6.62,307.04,0,45000,0,-7,26.85,0,0,15,0,10133,70.4,40,0
233,4225,36,12.42,141.18,-3,55200,0,-8,17.61,0,1,6,0,4055,73.7,12,0
234,3500,36,7.9,109.52,-3,61440,0,-11,6.46,1,0,6,0,15472,55.5,19,0
235,12000,36,6.62,368.45,-3,56000,0,0,13.65,0,0,7,0,9873,80.3,21,0
236,16500,36,8.9,523.93,0,47000,-1,0,9.06,0,1,6,0,13917,38.8,24,0
237,22000,60,21.67,603.5,0,55000,-2,0,15.62,0,1,9,0,20154,79.4,27,0
238,12000,36,14.65,413.94,0,71000,-2,-7,14.87,0,2,15,0,17972,71,38,0
239,15600,60,12.69,352.48,0,50000,-1,-11,5.78,0,1,8,0,8079,35.7,11,1
240,10800,36,12.42,360.89,0,135000,-2,-7,12.12,0,0,14,0,18467,74.5,23,0
241,14000,36,12.42,467.82,-3,63000,0,-7,7.35,0,0,5,0,17212,97.8,19,0
242,18825,60,17.58,473.75,-3,44000,-2,0,24.98,0,0,9,0,14092,93.2,20,0
243,6000,36,13.49,203.59,-3,50000,0,0,15.58,0,1,8,0,7361,83.6,14,0
244,12000,36,9.91,386.7,0,80000,0,0,14.83,0,0,11,0,17536,67.7,21,0
245,10000,36,12.42,334.16,0,45000,0,0,10.45,0,0,14,0,10177,51.6,19,0
246,8000,36,7.9,250.33,0,78000,0,-11,6.09,0,1,16,0,15988,55.9,31,0
247,14125,36,9.91,455.18,0,33000,-2,0,23.13,0,3,12,0,19472,66,20,0
248,14000,36,12.69,469.63,0,62800,0,0,19.24,0,1,10,0,13579,64.5,18,0
249,13200,60,17.27,224.36,0,26400,-1,-5,9.64,0,3,8,0,7411,50.1,12,0
250,4000,36,19.03,146.69,-3,80000,0,-11,20.59,1,2,30,0,6654,22.6,56,0
251,4000,36,12.69,134.18,0,25000,0,0,6.86,0,3,5,0,8546,79.7,13,1
252,10500,36,6.03,319.58,-3,65000,-1,0,10.36,0,0,8,0,10729,18.7,16,0
253,5500,36,7.9,172.1,-2,59000,-1,-3,6.65,0,0,10,1,9130,43.3,23,0
254,7350,36,11.71,243.11,0,33000,-2,0,22.51,0,1,13,0,24782,77.9,23,0
255,10000,36,12.42,334.16,0,39000,-1,-7,18.31,0,1,7,0,11691,90.6,19,1
256,12000,36,7.51,373.33,0,42000,0,0,10.74,0,1,7,0,18913,43,17,0
257,5000,60,11.71,110.5,-3,38004,0,-6,23.78,0,0,12,0,10023,57.3,17,0
258,8000,60,11.71,176.79,-2,31000,-1,-8,16.22,0,3,13,0,2751,34.4,29,0
259,4500,36,8.9,142.89,-3,50700,-2,-8,23.43,0,0,10,0,9127,24.4,20,0
260,18000,36,12.42,601.48,-2,75000,-2,-7,12.51,0,2,9,0,14810,66.1,27,0
261,12300,60,13.49,282.96,-3,30000,-1,0,12.76,0,1,8,0,10981,55.5,12,0
262,12000,36,13.49,407.17,0,40000,0,0,15.72,0,0,8,0,10790,80.5,13,0
263,10000,36,13.49,339.31,-3,50000,0,-7,5.88,1,2,5,0,8899,47.6,15,0
264,6000,36,7.9,187.75,-3,80000,0,-8,8.87,0,4,8,0,19071,30.3,29,0
265,12000,36,12.69,402.54,0,40000,0,0,22.2,0,1,9,0,16273,55.5,23,0
266,12000,36,8.9,381.04,0,80000,0,-8,9.13,0,0,8,0,13088,83.5,16,1
267,7000,36,11.71,231.54,0,75000,-1,0,15.57,0,0,7,0,22196,94.1,17,0
268,35000,60,18.64,690.56,-3,85000,-2,0,12,0,1,16,0,31071,53,50,0
269,1400,36,7.9,43.81,0,28800,0,-8,10,0,1,5,0,2016,9.9,7,0
270,16000,60,13.49,368.08,0,35000,-2,-5,16.22,0,1,6,0,19184,58.5,14,1
271,3200,36,9.91,103.12,0,61200,0,0,2.16,0,0,5,1,2795,33.3,17,0
272,8000,36,7.9,250.33,0,40000,0,-1,13.35,0,0,4,0,2440,34.4,11,0
273,11875,60,12.69,268.32,0,25920,-1,0,23.75,0,0,8,0,13932,94.1,28,1
274,5000,36,6.03,152.18,-3,54000,0,-6,3.82,0,0,6,0,1779,4,14,0
275,1800,36,6.62,55.27,0,18000,0,-5,23.8,0,0,5,0,1792,39.8,12,0
276,35000,36,8.9,1111.37,0,85000,-2,0,17.73,0,0,7,0,16720,61.5,13,0
277,18000,36,8.9,571.56,0,78000,-2,-7,7,0,1,6,0,17769,66.3,10,0
278,14000,36,7.9,438.07,-2,45600,0,0,19.74,0,0,5,0,15846,63.9,10,1
279,5000,36,12.42,167.08,0,70000,0,0,20.06,0,1,14,0,13543,54.2,26,0
280,8000,36,15.96,281.1,0,70000,-1,-7,14.04,0,2,10,0,24072,91.9,30,0
281,10000,36,6.03,304.36,-3,80000,0,0,12.99,0,0,7,0,27644,45.2,17,0
282,10000,36,7.51,311.11,0,50000,-2,0,4.63,0,2,8,0,6592,25.7,25,0
283,12000,36,12.42,400.99,-3,35000,-2,0,18.51,0,0,10,0,8198,75.7,13,0
284,23200,36,7.9,725.94,-3,65000,-2,0,27.99,0,0,10,0,36381,47,34,0
285,18000,60,15.27,430.78,-3,84000,-2,-7,11.41,0,3,11,0,22542,83.2,23,0
